Date,Open,High,Low,Close ,Adj Close ,Volume
24-Oct-22,"37,419.43","38,989.20","37,240.95","38,952.71","38,952.71",-
17-Oct-22,"35,778.63","37,467.83","35,778.63","37,419.43","37,419.43",-
10-Oct-22,"36,419.87","37,102.22","34,917.15","35,778.63","35,778.63",-
3-Oct-22,"35,836.92","38,061.24","35,836.92","36,419.87","36,419.87",-
26-Sep-22,"36,787.20","39,885.52","35,829.74","35,836.92","35,836.92",-
19-Sep-22,"38,750.46","39,086.17","36,332.73","36,787.20","36,787.20",-
12-Sep-22,"40,711.20","41,221.86","38,402.01","38,750.46","38,750.46",-
5-Sep-22,"39,180.41","40,797.23","38,787.27","40,711.20","40,711.20",-
29-Aug-22,"40,598.79","40,646.28","38,943.38","39,180.41","39,180.41",-
22-Aug-22,"42,177.29","42,177.29","40,598.79","40,598.79","40,598.79",-
15-Aug-22,"42,867.31","43,311.09","42,079.16","42,177.29","42,177.29",-
8-Aug-22,"41,439.91","42,867.62","41,083.55","42,867.31","42,867.31",-
1-Aug-22,"41,119.58","41,606.38","40,700.44","41,439.91","41,439.91",-
25-Jul-22,"39,472.44","41,211.36","38,925.87","41,119.58","41,119.58",-
18-Jul-22,"38,411.31","40,058.74","38,032.24","39,472.44","39,472.44",-
11-Jul-22,"38,850.46","38,850.46","37,018.81","38,411.31","38,411.31",-
4-Jul-22,"37,997.76","39,062.77","37,165.11","38,850.46","38,850.46",-
27-Jun-22,"38,930.58","39,262.99","37,082.70","37,997.76","37,997.76",-
20-Jun-22,"36,527.66","38,935.20","36,527.66","38,930.58","38,930.58",-
13-Jun-22,"38,860.54","38,860.54","36,094.50","36,527.66","36,527.66",-
6-Jun-22,"40,945.39","41,526.25","38,833.48","38,860.54","38,860.54",-
30-May-22,"41,391.27","41,622.86","40,471.20","40,945.39","40,945.39",-
23-May-22,"38,831.65","41,391.65","38,404.76","41,391.27","41,391.27",-
16-May-22,"40,022.27","40,623.61","37,901.30","38,831.65","38,831.65",-
9-May-22,"41,057.46","41,057.46","38,233.97","40,022.27","40,022.27",-
2-May-22,"41,343.97","43,118.00","40,513.37","41,057.46","41,057.46",-
25-Apr-22,"42,808.72","43,104.36","41,276.81","41,343.97","41,343.97",-
18-Apr-22,"44,180.85","45,320.56","42,779.74","42,808.72","42,808.72",-
11-Apr-22,"44,927.40","44,927.40","43,968.10","44,180.85","44,180.85",-
4-Apr-22,"45,803.71","46,267.75","44,535.29","44,927.40","44,927.40",-
28-Mar-22,"45,692.83","46,793.60","45,397.11","45,803.71","45,803.71",-
21-Mar-22,"45,009.60","45,744.32","44,559.02","45,692.83","45,692.83",-
14-Mar-22,"42,305.63","45,033.42","40,095.94","45,009.60","45,009.60",-
7-Mar-22,"43,535.76","43,660.35","41,822.81","42,305.63","42,305.63",-
28-Feb-22,"44,260.12","44,597.15","43,121.18","43,535.76","43,535.76",-
21-Feb-22,"43,866.56","44,263.49","41,374.95","44,260.12","44,260.12",-
14-Feb-22,"44,660.30","45,406.59","43,654.45","43,866.56","43,866.56",-
7-Feb-22,"45,244.28","46,448.54","44,478.06","44,660.30","44,660.30",-
31-Jan-22,"44,400.43","46,110.28","43,559.86","45,244.28","45,244.28",-
24-Jan-22,"44,219.81","44,855.25","42,423.73","44,400.43","44,400.43",-
17-Jan-22,"47,103.44","47,103.44","44,203.54","44,219.81","44,219.81",-
10-Jan-22,"47,321.14","48,107.50","46,284.42","47,103.44","47,103.44",-
3-Jan-22,"48,461.16","48,993.62","47,168.36","47,321.14","47,321.14",-
27-Dec-21,"48,171.10","48,941.47","48,171.10","48,461.16","48,461.16",-
20-Dec-21,"47,028.32","48,313.73","46,046.18","48,171.10","48,171.10",-
13-Dec-21,"47,962.05","48,083.64","46,675.87","47,028.32","47,028.32",-
6-Dec-21,"46,360.95","48,194.68","46,243.97","47,962.05","47,962.05",-
29-Nov-21,"47,377.65","48,103.68","45,928.31","46,360.95","46,360.95",-
22-Nov-21,"48,593.60","48,984.68","47,236.69","47,377.65","47,377.65",-
15-Nov-21,"48,712.27","49,002.95","48,416.77","48,593.60","48,593.60",-
